2026-02-22 20:11:12,590 | WARNING | discord.client | PyNaCl is not installed, voice will NOT be supported
2026-02-22 20:11:12,591 | DEBUG   | discord.client | on_ready has successfully been registered as an event
2026-02-22 20:11:12,591 | INFO    | kokoloko | Starting bot...
2026-02-22 20:11:12,591 | DEBUG   | asyncio  | Using selector: EpollSelector
2026-02-22 20:11:12,591 | INFO    | discord.client | logging in using static token
2026-02-22 20:11:13,617 | INFO    | discord.gateway | Shard ID None has connected to Gateway (Session ID: c17297e57b7bfa1ea3a00f034d9400e2).
2026-02-22 20:11:15,634 | INFO    | kokoloko | 🤖 KOKOLOKO: Kokoloko#8554 is ready and connected to Discord!
2026-02-22 20:11:15,634 | INFO    | kokoloko |    - Fake Out Chance: 32.0%
2026-02-22 20:11:29,391 | INFO    | kokoloko | Draft initiation started by don_helios
2026-02-22 20:11:32,602 | WARNING | kokoloko | Draft failed to start: No players provided.
2026-02-22 20:11:40,354 | INFO    | kokoloko | Draft initiation started by don_helios
2026-02-22 20:11:49,216 | INFO    | kokoloko | Draft initialized successfully. Mode: 2, Players: 1
2026-02-22 20:11:49,216 | INFO    | kokoloko | 🏆 [SILENT] Started
2026-02-22 20:11:49,216 | INFO    | engine   | [Turn Start] Round 1, Pick #1 for Don Helios
2026-02-22 20:11:49,218 | INFO    | engine   | [R1] Pick #1 Don Helios: Porygon-Z (T100) - Left: 1100
2026-02-22 20:11:49,229 | INFO    | engine   | --- STARTING ROUND 2 (Silent) ---
2026-02-22 20:11:49,229 | INFO    | engine   | [Turn Start] Round 2, Pick #2 for Don Helios
2026-02-22 20:11:49,234 | INFO    | engine   | [R2] Pick #2 Don Helios: Amoonguss (T120) - Left: 980
2026-02-22 20:11:49,244 | INFO    | engine   | --- STARTING ROUND 3 (Silent) ---
2026-02-22 20:11:49,244 | INFO    | engine   | [Turn Start] Round 3, Pick #3 for Don Helios
2026-02-22 20:11:49,248 | INFO    | engine   | [R3] Pick #3 Don Helios: Tapu Bulu (T160) - Left: 820
2026-02-22 20:11:49,259 | INFO    | engine   | --- STARTING ROUND 4 (Silent) ---
2026-02-22 20:11:49,259 | INFO    | engine   | [Turn Start] Round 4, Pick #4 for Don Helios
2026-02-22 20:11:49,267 | INFO    | engine   | [R4] Pick #4 Don Helios: Togekiss (T120) - Left: 700
2026-02-22 20:11:49,277 | INFO    | engine   | --- STARTING ROUND 5 (Silent) ---
2026-02-22 20:11:49,277 | INFO    | engine   | [Turn Start] Round 5, Pick #5 for Don Helios
2026-02-22 20:11:49,285 | INFO    | engine   | [R5] Pick #5 Don Helios: Latios (T200) - Left: 500
2026-02-22 20:11:49,296 | INFO    | engine   | --- STARTING ROUND 6 (Silent) ---
2026-02-22 20:11:49,296 | INFO    | engine   | [Turn Start] Round 6, Pick #6 for Don Helios
